시도,시군구,구분,2017,,,,,,,,,,,,,,2018,,,,,,,,,,,,,,2019,,,,,,,,,,,,,,2020,,,,,,,,,,,,,,2021,,,,,,,,,,,,,
,,,합계,승용차,승합차,화물차,특수차,이륜차,사륜오토바이(ATV),원동기장치자전거,자전거,개인형이동수단(PM),건설기계,농기계,기타,불명,합계,승용차,승합차,화물차,특수차,이륜차,사륜오토바이(ATV),원동기장치자전거,자전거,개인형이동수단(PM),건설기계,농기계,기타,불명,합계,승용차,승합차,화물차,특수차,이륜차,사륜오토바이(ATV),원동기장치자전거,자전거,개인형이동수단(PM),건설기계,농기계,기타,불명,합계,승용차,승합차,화물차,특수차,이륜차,사륜오토바이(ATV),원동기장치자전거,자전거,개인형이동수단(PM),건설기계,농기계,기타,불명,합계,승용차,승합차,화물차,특수차,이륜차,사륜오토바이(ATV),원동기장치자전거,자전거,개인형이동수단(PM),건설기계,농기계,기타,불명
,,사망자수,15,6,2,5,0,0,1,0,1,,0,0,,0,11,6,0,1,0,1,2,1,0,0,0,0,0,0,8,5,0,0,0,1,1,0,1,0,0,,0,0,5,2,0,1,,0,2,0,0,0,0,0,0,0,10,8,0,1,0,0,0,0,0,,1,,,0
,,부상자수,763,519,46,131,2,21,5,10,7,,14,1,,7,682,491,52,80,1,23,0,3,10,1,12,2,2,5,678,498,29,80,10,24,2,1,16,3,8,,2,5,595,426,13,85,,24,3,3,15,2,17,1,2,4,651,456,25,115,1,24,1,5,13,,8,,,3
,양평군,사고건수,539,335,24,99,1,25,1,8,18,,15,6,1,6,532,356,18,75,4,34,2,13,7,,15,1,,7,591,396,19,94,3,31,,5,19,,14,4,,6,553,367,13,89,2,25,1,5,33,1,12,4,1,,504,335,24,90,3,27,,4,9,,8,1,,3
,,사망자수,20,4,1,6,0,4,1,1,1,,1,1,0,0,15,8,0,2,0,2,0,1,0,,0,1,,1,13,5,0,4,0,1,,0,2,,1,0,,0,9,4,0,1,1,3,0,0,0,0,0,0,0,,20,13,1,2,0,4,,0,0,,0,0,,0
,,부상자수,839,549,37,151,3,32,0,10,19,,24,6,1,7,826,568,26,135,5,40,2,15,8,,21,0,,6,955,676,33,128,4,43,,7,18,,23,17,,6,920,610,20,147,17,40,1,5,38,1,34,6,1,,812,540,52,143,14,30,,5,9,,14,1,,4
,이천시,사고건수,1028,662,54,178,10,62,4,16,10,1,15,3,3,10,1016,654,54,163,7,73,2,11,13,2,21,5,2,9,1102,721,51,197,6,68,,12,12,3,21,1,1,9,1106,739,50,176,11,80,3,10,14,3,11,4,,5,1192,715,47,207,11,130,1,15,18,9,24,3,1,11
,,사망자수,33,19,1,7,0,2,1,0,2,0,0,1,0,0,19,10,5,3,0,0,0,0,1,0,0,0,0,0,33,15,5,8,0,2,,1,2,0,0,0,0,0,25,17,0,3,0,2,0,0,1,1,0,1,,0,14,3,1,7,0,1,0,0,2,0,0,0,0,0
,,부상자수,1590,1052,89,298,12,74,3,19,9,1,18,2,3,10,1626,1056,118,269,9,84,2,14,12,2,42,7,2,9,1687,1088,107,318,9,87,,14,12,3,38,1,1,9,1708,1167,82,269,22,104,3,16,14,2,20,3,,6,1860,1105,119,327,23,168,1,20,21,11,46,4,1,14
,용인시,사고건수,3032,1960,265,401,14,142,2,42,66,5,69,3,2,61,3205,2135,266,410,19,153,1,23,50,3,71,3,1,70,3485,2310,263,443,25,222,1,12,53,8,90,1,5,52,3262,2188,177,428,24,236,2,25,55,11,52,1,3,60,3603,2376,221,486,28,244,2,15,56,37,75,3,3,57
,,사망자수,46,21,6,14,0,2,0,1,0,0,1,1,0,0,37,18,4,7,0,3,0,0,1,0,4,0,0,0,34,17,4,10,0,1,0,1,0,0,1,0,0,0,35,14,2,9,1,5,0,2,1,0,0,1,0,0,31,13,0,10,1,4,0,0,0,0,3,0,0,0
,,부상자수,5026,3158,703,652,31,176,2,54,71,5,99,2,2,71,5116,3463,472,671,31,192,4,30,50,4,101,3,1,94,5698,3803,556,694,35,288,1,11,53,8,183,1,5,60,5066,3409,366,694,42,310,3,25,59,13,76,0,3,66,5401,3621,360,763,39,318,2,22,62,42,104,6,4,58
,안성시,사고건수,997,595,59,199,13,71,1,3,21,,19,3,,13,1026,611,59,211,8,60,3,6,19,1,32,6,1,9,1014,590,66,213,11,72,2,4,14,,20,7,,15,1075,682,44,204,11,65,4,6,11,1,25,5,,17,1072,672,44,215,11,84,,3,11,5,18,,,9
,,사망자수,27,15,0,7,1,4,0,0,0,,0,0,,0,19,10,1,6,0,1,0,0,0,0,0,1,0,0,16,5,2,5,0,1,2,0,0,,0,1,,0,13,8,1,1,0,1,0,1,0,0,1,0,,0,24,12,2,7,2,1,,0,0,0,0,,,0
,,부상자수,1751,1073,127,369,21,82,1,3,21,,32,7,,15,1740,1091,114,345,9,70,3,10,20,1,54,5,1,17,1734,1052,118,382,15,95,0,4,15,,27,9,,17,1779,1156,92,337,19,81,5,6,13,1,40,7,,22,1717,1108,89,338,20,108,,3,11,5,26,,,9
,김포시,사고건수,1515,928,177,209,3,82,,12,26,,57,1,1,19,1682,1007,174,270,11,112,,4,32,,43,1,2,26,1792,1102,224,237,11,131,1,9,29,,28,1,1,18,1687,1018,125,255,11,170,1,8,45,4,26,,3,21,1775,1086,118,256,10,170,1,16,54,8,38,1,1,16
,,사망자수,26,16,4,3,0,3,,0,0,,0,0,0,0,24,10,1,3,2,6,,0,0,,2,0,0,0,24,14,1,4,0,4,0,0,1,,0,0,0,0,29,14,2,4,0,8,0,0,1,0,0,,0,0,18,7,1,4,0,3,0,1,2,0,0,0,0,0
,,부상자수,2312,1451,293,288,4,100,,20,28,,101,3,2,22,2664,1658,280,416,10,157,,4,34,,67,1,2,35,2787,1793,342,341,19,179,2,11,32,,47,1,2,18,2632,1640,227,404,13,223,2,9,47,4,37,,3,23,2669,1672,195,392,19,234,1,15,58,9,53,3,1,17
,동두천시,사고건수,382,240,43,52,,10,,11,10,,6,,2,8,406,283,30,48,1,19,,4,9,1,6,1,1,3,417,298,26,45,1,19,,7,9,,6,,2,4,329,224,16,44,2,17,1,8,7,1,4,1,1,3,351,233,22,43,3,29,,3,8,5,1,,,4
,,사망자수,10,5,3,2,,0,,0,0,,0,,0,0,11,8,0,1,0,0,,0,0,0,1,0,1,0,6,3,2,0,0,0,,1,0,,0,,0,0,4,1,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,1,0,1,,0,0,0,0,,,0
,,부상자수,559,363,62,70,,17,,15,12,,10,,2,8,576,408,49,59,1,25,,8,11,1,10,1,0,3,565,417,33,59,2,23,,8,10,,6,,2,5,456,328,19,58,3,20,1,9,7,1,4,1,2,3,477,326,28,61,4,36,,4,8,5,1,,,4
,과천시,사고건수,227,146,30,31,,4,,3,6,1,5,,,1,239,159,26,16,2,11,,2,10,,8,,,5,237,159,18,25,1,10,,3,9,,9,,1,2,187,132,9,21,,10,,1,8,1,4,,,1,168,126,10,13,1,9,,2,,,6,,1,
,,사망자수,3,1,0,2,,0,,0,0,0,0,,,0,1,1,0,0,0,0,,0,0,,0,,,0,1,1,0,0,0,0,,0,0,,0,,0,0,6,4,0,1,,0,,0,1,0,0,,,0,1,1,0,0,0,0,,0,,,0,,0,
,,부상자수,418,256,94,39,,6,,5,7,1,9,,,1,385,273,36,27,8,12,,2,10,,12,,,5,380,255,46,37,2,11,,4,10,,12,,1,2,290,220,12,29,,12,,1,7,1,7,,,1,256,191,16,14,1,13,,2,,,17,,2,
,군포시,사고건수,698,444,63,70,3,57,,15,24,1,6,,,15,659,427,68,65,4,55,1,5,14,1,8,,,11,650,421,64,67,4,58,,6,14,2,6,,1,7,709,423,47,93,3,99,,9,17,6,7,,1,4,622,385,48,66,4,83,,4,18,8,3,,,3
,,사망자수,14,7,4,1,0,2,,0,0,0,0,,,0,7,5,0,1,0,1,0,0,0,0,0,,,0,3,1,0,1,0,1,,0,0,0,0,,0,0,9,4,1,3,0,0,,0,0,1,0,,0,0,9,5,0,2,0,0,,1,1,0,0,,,0
,,부상자수,1026,685,102,91,3,73,,20,25,1,9,,,17,954,632,116,89,5,71,1,5,14,1,9,,,11,1024,650,134,114,5,78,,8,15,3,9,,1,7,1043,654,68,130,3,142,,10,17,7,7,,1,4,904,570,90,99,6,99,,4,19,9,5,,,3
,남양주시,사고건수,2303,1436,148,370,7,125,1,32,98,,38,,3,45,2431,1568,156,361,11,158,2,12,69,2,44,1,1,46,2411,1526,154,360,7,173,1,26,86,2,33,1,3,39,2255,1381,137,350,14,170,1,14,118,5,30,2,3,30,2136,1355,97,332,10,170,2,12,80,16,33,2,,27
,,사망자수,36,13,2,11,0,5,1,2,2,,0,,0,0,41,18,2,10,0,5,1,0,2,0,3,0,0,0,31,18,2,4,0,3,1,1,1,0,1,0,0,0,32,14,1,8,0,5,0,0,3,0,1,0,0,0,18,7,0,5,0,2,0,0,2,0,2,0,,0
,,부상자수,3554,2303,260,563,9,161,0,41,112,,54,,4,47,3903,2562,274,607,23,220,1,15,85,2,64,1,1,48,3843,2514,233,614,11,233,0,36,103,2,44,1,3,49,3419,2192,215,528,20,209,1,20,143,7,44,3,3,34,3257,2061,175,553,16,243,3,15,94,17,47,2,,31
,오산시,사고건수,866,549,81,114,2,42,,5,27,1,23,,,22,962,631,76,94,7,81,1,4,34,,14,,2,18,1057,705,89,100,2,84,,4,36,7,10,,4,16,1090,701,69,121,3,106,1,7,43,8,11,,1,19,1108,709,74,137,8,112,,2,25,19,11,1,1,9
,,사망자수,13,8,0,0,0,2,,0,2,0,1,,,0,10,5,2,1,0,0,0,0,2,,0,,0,0,7,3,0,2,0,1,,0,0,0,1,,0,0,6,2,1,2,0,0,0,0,1,0,0,,0,0,7,3,0,1,0,0,,0,1,1,1,0,0,0
,,부상자수,1338,854,154,179,3,49,,6,27,2,35,,,29,1409,953,122,149,11,93,1,4,34,,19,,4,19,1582,1078,163,145,2,109,,5,37,9,12,,4,18,1559,1048,98,161,5,142,1,9,45,9,15,,1,25,1571,1009,117,198,13,156,,3,28,22,12,1,2,10
,의왕시,사고건수,470,317,31,64,8,25,,6,7,,6,,,6,444,298,42,52,6,14,,1,6,1,16,,,8,488,312,49,72,3,17,,9,8,,9,,,9,414,270,43,46,7,21,1,4,8,,6,,,8,433,262,35,67,10,19,,3,13,3,17,,1,3
,,사망자수,5,3,0,1,1,0,,0,0,,0,,,0,5,3,1,1,0,0,,0,0,0,0,,,0,10,3,2,4,0,0,,0,1,,0,,,0,5,4,0,0,0,1,0,0,0,,0,,,0,3,0,0,0,0,0,,0,1,0,2,,0,0
,,부상자수,721,485,48,115,13,32,,9,7,,6,,,6,726,466,73,114,12,17,,1,6,1,25,,,11,780,536,70,102,3,21,,10,8,,19,,,11,615,405,74,73,9,26,1,4,8,,6,,,9,624,400,41,100,12,24,,4,13,3,22,,1,4
,하남시,사고건수,766,406,68,139,2,48,,32,42,1,14,,1,13,977,542,94,155,7,78,,20,36,2,17,,2,24,1082,615,85,166,6,84,,16,51,5,25,,,29,1192,647,85,195,6,122,1,18,71,5,23,,3,16,1195,661,60,188,9,128,,20,53,18,20,,,38
,,사망자수,14,7,2,3,0,1,,0,1,0,0,,0,0,9,4,1,3,0,0,,0,1,0,0,,0,0,17,9,1,4,0,3,,0,0,0,0,,,0,13,6,1,2,0,4,0,0,0,0,0,,0,0,9,5,0,2,0,2,,0,0,0,0,,,0
,,부상자수,1156,650,105,217,3,58,,38,48,1,19,,1,16,1443,852,125,229,9,101,,25,36,2,36,,2,26,1605,971,106,246,12,103,,19,61,5,47,,,35,1788,1034,116,285,11,164,2,22,92,6,35,,4,17,1731,1041,78,265,10,167,,21,63,21,26,,,39
,춘천시,사고건수,1686,1198,101,207,4,58,5,10,31,3,24,1,,44,1558,1123,82,188,2,72,3,10,20,,15,2,,41,1590,1150,69,183,6,85,6,9,25,3,23,1,,30,1380,959,64,168,2,91,7,6,26,10,18,,,29,1361,959,68,129,2,87,7,14,36,11,20,1,,27
,,사망자수,32,16,3,7,0,2,1,0,1,0,2,0,,0,18,6,2,3,0,5,0,0,2,,0,0,,0,23,13,0,7,1,0,1,0,1,0,0,0,,0,23,9,1,6,0,4,0,0,2,0,1,,,0,23,12,1,7,0,2,0,1,0,0,0,0,,0
,,부상자수,2650,1922,208,302,4,78,6,12,31,3,34,2,,48,2420,1754,135,328,2,91,3,16,19,,23,4,,45,2443,1784,134,266,7,126,7,12,28,3,43,1,,32,2076,1481,110,247,5,127,7,7,25,12,25,,,30,1988,1456,95,190,3,106,9,19,39,12,30,1,,28
,원주시,사고건수,2205,1603,123,275,6,78,7,8,25,,28,4,2,46,1905,1387,106,251,2,74,1,9,7,,26,1,2,39,1985,1464,109,244,6,97,2,11,13,2,20,1,1,15,1830,1413,76,205,6,68,4,12,11,3,16,,,16,1718,1288,63,242,6,60,2,6,17,7,12,3,,12
,,사망자수,35,19,3,6,0,4,1,0,0,,0,1,1,0,20,13,0,5,0,2,0,0,0,,0,0,0,0,34,18,1,7,0,5,1,0,1,0,1,0,0,0,23,11,2,4,0,2,1,1,0,0,2,,,0,20,8,1,8,0,0,0,0,1,0,0,2,,0
,,부상자수,3522,2578,226,446,9,110,6,8,25,,52,4,1,57,3042,2233,194,417,2,99,1,13,7,,33,1,2,40,3000,2241,181,375,10,117,1,14,12,2,27,3,1,16,2788,2188,107,325,11,84,5,14,12,3,20,,,19,2620,1983,110,352,10,85,3,8,19,8,24,3,,15
,동해시,사고건수,451,334,24,54,3,14,1,2,5,,12,1,,1,356,257,17,53,2,12,,2,1,,10,,,2,358,261,21,41,7,10,,3,,1,13,,,1,296,221,8,40,1,11,,2,3,,10,,,,362,263,16,54,2,11,,,2,1,12,,,1
,,사망자수,7,4,1,1,0,0,0,1,0,,0,0,,0,5,2,0,1,0,2,,0,0,,0,,,0,7,7,0,0,0,0,,0,,0,0,,,0,4,1,0,3,0,0,,0,0,,0,,,,2,2,0,0,0,0,,,0,0,0,,,0
,,부상자수,673,496,43,86,3,17,1,1,5,,19,1,,1,521,380,32,69,2,15,,2,1,,18,,,2,494,361,33,55,11,11,,3,,1,18,,,1,419,327,11,46,2,13,,2,3,,15,,,,579,425,24,83,3,21,,,2,1,19,,,1
,강릉시,사고건수,1028,740,56,161,4,22,1,10,5,,17,1,,11,918,690,46,126,3,15,4,3,4,,10,2,1,14,888,698,40,106,,18,,8,5,,10,1,,2,848,640,29,107,4,13,1,25,14,,11,,1,3,653,499,22,82,2,23,1,9,1,2,9,1,1,1
,,사망자수,26,14,2,6,0,1,0,0,1,,2,0,,0,22,11,2,5,0,0,2,0,1,,0,1,0,0,14,6,1,5,,1,,1,0,,0,0,,0,18,10,2,2,0,0,1,0,3,,0,,0,0,17,8,0,6,0,2,0,1,0,0,0,0,0,0
,,부상자수,1632,1180,88,262,7,31,1,11,4,,34,1,,13,1410,1065,93,185,3,17,2,3,3,,22,1,1,15,1360,1062,85,163,,20,,8,5,,13,2,,2,1221,947,44,155,4,15,0,28,11,,13,,1,3,965,742,34,123,2,27,1,11,1,2,19,1,1,1
,속초시,사고건수,460,357,24,49,1,11,,4,5,,5,2,,2,433,343,21,45,,11,,2,2,,5,,,4,391,291,25,40,,17,1,5,5,,1,2,,4,446,339,14,74,,14,,2,2,,,,,1,384,270,21,41,5,30,,3,6,3,5,,,
,,사망자수,5,2,1,1,0,1,,0,0,,0,0,,0,6,4,0,2,,0,,0,0,,0,,,0,8,4,2,0,,2,0,0,0,,0,0,,0,1,0,1,0,,0,,0,0,,,,,0,2,0,0,0,0,2,,0,0,0,0,,,
,,부상자수,748,594,31,85,1,17,,4,5,,6,3,,2,660,524,35,65,,17,,4,2,,9,,,4,592,456,41,55,,20,1,5,5,,2,3,,4,699,544,19,113,,18,,2,2,,,,,1,584,428,31,59,8,38,,4,6,3,7,,,
,태백시,사고건수,156,111,9,29,1,,,,,,6,,,,206,158,12,27,1,2,2,,,,4,,,,177,129,10,29,1,2,,1,,,5,,,,170,127,6,25,2,4,1,,1,,4,,,,190,142,10,31,1,2,,,,,4,,,
,,사망자수,6,4,0,2,0,,,,,,0,,,,10,8,0,1,0,0,1,,,,0,,,,2,1,0,1,0,0,,0,,,0,,,,1,0,0,0,0,1,0,,0,,0,,,,7,5,0,1,0,0,,,,,1,,,
,,부상자수,262,192,18,38,2,,,,,,12,,,,322,242,20,51,1,2,1,,,,5,,,,267,194,16,34,1,2,,2,,,18,,,,270,205,11,39,2,6,2,,1,,4,,,,268,198,15,46,4,2,,,,,3,,,
,삼척시,사고건수,363,229,18,59,3,6,2,15,5,,21,1,,4,365,251,7,53,1,13,4,7,4,,16,6,,3,414,270,15,61,,12,3,13,12,,23,4,,1,356,224,16,58,3,12,1,7,10,,24,,,1,257,165,15,36,1,9,1,6,6,,15,3,,
,,사망자수,10,6,2,2,0,0,0,0,0,,0,0,,0,6,3,0,1,0,0,1,0,0,,0,1,,0,16,4,4,6,,0,0,0,0,,1,1,,0,5,2,0,0,0,1,0,0,0,,2,,,0,6,3,0,1,0,1,0,0,0,,1,0,,
,,부상자수,613,387,38,95,8,8,2,18,5,,47,1,,4,580,404,27,81,1,16,3,8,4,,26,7,,3,642,429,35,96,,13,3,15,12,,33,5,,1,558,363,36,81,6,12,1,7,10,,41,,,1,384,253,16,57,3,13,2,6,6,,25,3,,
,홍천군,사고건수,356,213,17,95,,11,1,,1,,10,7,,1,331,200,13,86,2,18,4,,1,,5,1,1,,359,219,20,89,1,12,1,2,7,,4,2,1,1,357,225,15,74,2,23,1,3,4,,8,1,,1,329,219,14,75,1,11,2,,2,,1,1,2,1
,,사망자수,13,7,0,3,,2,0,,0,,0,1,,0,13,10,0,3,0,0,0,,0,,0,0,0,,16,9,0,6,0,1,0,0,0,,0,0,0,0,10,3,0,4,0,3,0,0,0,,0,0,,0,18,6,0,9,0,2,0,,0,,0,0,1,0
,,부상자수,575,346,40,154,,12,1,,1,,13,7,,1,537,341,31,127,2,22,5,,1,,6,1,1,,551,345,42,131,1,12,1,2,7,,6,2,1,1,573,351,27,133,8,29,4,4,4,,11,1,,1,564,405,17,111,2,15,3,,2,,1,2,2,4
,횡성군,사고건수,182,106,12,43,2,8,1,,,,2,2,1,5,187,107,11,45,2,11,2,1,2,,2,4,,,203,124,2,55,5,2,1,2,5,,3,3,,1,223,137,9,50,2,17,2,,,,1,4,1,,208,115,4,65,1,7,,1,2,,4,5,2,2
,,사망자수,12,7,2,1,1,1,0,,,,0,0,0,0,14,4,1,1,0,1,2,1,1,,0,3,,,9,5,0,2,0,0,0,0,0,,1,1,,0,7,3,0,1,0,2,1,,,,0,0,0,,9,2,0,4,0,1,,0,0,,1,1,0,0
,,부상자수,295,173,39,60,1,9,2,,,,2,2,1,6,293,177,20,72,3,12,0,0,1,,7,1,,,371,242,5,97,5,3,1,4,5,,4,4,,1,375,234,19,83,3,22,3,,,,1,9,1,,304,174,11,93,1,8,,1,2,,3,5,4,2
,영월군,사고건수,183,118,7,36,2,5,1,1,5,,4,1,,3,187,116,9,37,4,7,3,,2,,5,2,,2,156,93,8,36,3,5,1,,,,8,,,2,154,93,7,31,,14,2,,1,,6,,,,136,85,8,30,1,6,,,1,,5,,,
,,사망자수,9,7,0,2,0,0,0,0,0,,0,0,,0,11,3,0,4,1,1,2,,0,,0,0,,0,4,0,0,3,0,1,0,,,,0,,,0,7,2,0,4,,0,0,,0,,1,,,,2,1,0,1,0,0,,,0,,0,,,
,,부상자수,299,201,14,54,2,8,1,1,5,,6,2,,5,304,197,15,62,4,7,4,,2,,8,3,,2,252,140,32,54,4,4,1,,,,14,,,3,227,143,11,43,,19,2,,1,,8,,,,227,141,21,48,2,8,,,1,,6,,,
,평창군,사고건수,289,185,18,55,3,7,2,1,2,,9,2,1,4,218,135,20,50,,7,1,1,1,,2,,,1,183,120,9,42,1,3,,,3,,1,3,,1,154,82,8,40,2,7,3,1,1,,5,3,,2,178,105,9,52,3,3,2,1,1,,1,,,1
,,사망자수,22,11,5,0,0,2,1,0,1,,1,1,0,0,15,6,2,3,,2,1,0,1,,0,,,0,5,3,0,1,0,0,,,0,,0,1,,0,5,4,0,0,0,1,0,0,0,,0,0,,0,4,3,0,0,0,1,0,0,0,,0,,,0
,,부상자수,650,418,44,113,7,15,1,1,2,,40,2,3,4,446,276,56,92,,8,0,1,0,,12,,,1,344,247,20,65,1,4,,,3,,1,2,,1,239,130,13,65,2,14,3,1,1,,5,3,,2,396,246,23,110,5,6,2,1,1,,1,,,1
,정선군,사고건수,189,132,6,40,1,1,,2,1,,5,,,1,125,80,3,33,,2,,1,,,6,,,,107,79,10,12,,,,,1,,3,2,,,101,70,5,14,1,4,,,1,,6,,,,167,96,4,53,4,2,1,2,,,5,,,
,,사망자수,9,5,0,3,0,0,,0,0,,1,,,0,8,4,0,4,,0,,0,,,0,,,,6,5,0,1,,,,,0,,0,0,,,3,3,0,0,0,0,,,0,,0,,,,6,3,0,3,0,0,0,0,,,0,,,
,,부상자수,296,224,9,51,2,1,,2,1,,5,,,1,215,153,5,42,,5,,1,,,9,,,,169,132,13,17,,,,,1,,3,3,,,156,111,5,20,1,5,,,1,,13,,,,244,138,6,79,6,6,1,2,,,6,,,
,철원군,사고건수,175,98,6,51,,5,1,7,2,,1,3,1,,145,84,9,33,1,9,1,1,2,,3,2,,,144,72,5,47,1,8,1,,4,,3,3,,,150,89,10,32,,7,3,2,2,,2,3,,,125,76,4,35,,6,1,,1,1,,1,,
,,사망자수,15,5,0,6,,2,0,2,0,,0,0,0,,5,3,0,1,0,0,1,0,0,,0,0,,,12,4,1,7,0,0,0,,0,,0,0,,,6,3,1,1,,0,1,0,0,,0,0,,,6,3,0,2,,0,1,,0,0,,0,,
,,부상자수,279,178,9,72,,4,2,7,2,,1,3,1,,240,144,18,58,1,9,0,1,2,,5,2,,,220,114,6,75,1,9,1,,4,,6,4,,,204,125,16,43,,8,2,2,2,,2,4,,,207,125,6,63,,10,0,,1,1,,1,,
,화천군,사고건수,85,48,2,21,1,7,3,,,,1,,1,1,88,53,5,20,,5,1,,1,,,,1,2,101,66,3,21,1,7,1,,,,1,1,,,121,65,5,35,1,8,,,3,,2,1,,1,96,63,2,18,1,10,,,1,,1,,,
,,사망자수,2,0,0,1,0,1,0,,,,0,,0,0,9,6,0,1,,2,0,,0,,,,0,0,9,6,0,2,0,1,0,,,,0,0,,,8,1,0,4,0,1,,,1,,0,1,,0,2,1,0,1,0,0,,,0,,0,,,
,,부상자수,134,72,6,38,3,9,3,,,,1,,1,1,141,83,9,33,,9,1,,2,,,,1,3,178,120,3,38,1,12,2,,,,1,1,,,207,125,13,53,1,10,,,2,,2,0,,1,169,122,2,23,2,18,,,1,,1,,,
,양구군,사고건수,91,52,2,24,,6,3,,1,1,1,1,,,85,54,4,17,,1,4,,2,,1,1,1,,88,56,4,19,,6,1,,,,2,,,,77,40,5,17,,11,2,,,,,2,,,81,56,1,14,,5,2,,,1,,2,,
,,사망자수,5,1,0,1,,3,0,,0,0,0,0,,,5,1,0,2,,1,1,,0,,0,0,0,,2,2,0,0,,0,0,,,,0,,,,2,0,0,1,,1,0,,,,,0,,,6,4,0,2,,0,0,,,0,,0,,
,,부상자수,147,97,3,33,,6,3,,1,1,2,1,,,137,98,7,24,,0,3,,2,,1,1,1,,156,103,4,35,,11,1,,,,2,,,,165,110,6,29,,16,2,,,,,2,,,122,79,6,25,,5,3,,,1,,3,,
,인제군,사고건수,147,94,12,26,1,9,,,,,4,,,1,101,64,10,19,,3,1,1,,,1,,,2,94,57,7,23,,5,,,,,1,,,1,82,56,2,15,2,3,1,,1,,2,,,,88,48,7,22,1,6,,,2,,,2,,
,,사망자수,12,2,2,1,0,6,,,,,1,,,0,10,4,1,2,,2,0,1,,,0,,,0,8,3,0,4,,1,,,,,0,,,0,3,1,1,1,0,0,0,,0,,0,,,,7,0,2,3,0,1,,,0,,,1,,
,,부상자수,300,200,25,61,2,7,,,,,4,,,1,178,112,25,33,,1,1,0,,,1,,,5,148,89,19,34,,4,,,,,1,,,1,126,86,4,22,6,3,1,,2,,2,,,,154,78,16,39,2,13,,,2,,,4,,
,고성군,사고건수,107,71,5,20,,1,,,2,,3,1,1,3,135,88,6,26,,6,1,,1,,4,1,,2,138,80,6,32,,9,1,,2,,7,,1,,129,80,5,32,1,1,1,2,,,6,,1,,119,79,6,21,,1,2,,,,8,,2,
,,사망자수,5,4,0,1,,0,,,0,,0,0,0,0,12,7,0,2,,2,0,,0,,1,0,,0,1,0,0,0,,1,0,,0,,0,,0,,2,0,0,2,0,0,0,0,,,0,,0,,5,1,0,3,,1,0,,,,0,,0,
,,부상자수,168,104,13,33,,2,,,2,,5,3,3,3,197,128,8,47,,5,1,,1,,4,1,,2,220,129,11,53,,11,3,,2,,10,,1,,206,131,9,52,1,2,1,2,,,7,,1,,199,124,10,32,,1,5,,,,22,,5,
,양양군,사고건수,163,117,6,28,2,4,,,1,1,3,,,1,155,102,9,28,1,10,,,1,,2,1,,1,178,119,10,38,1,7,,,,,2,,1,,165,114,3,32,,10,,,,,4,2,,,153,109,,30,4,3,,1,4,,2,,,
,,사망자수,11,5,0,2,0,3,,,0,0,1,,,0,8,3,0,2,1,1,,,0,,0,1,,0,9,4,0,4,0,1,,,,,0,,0,,5,2,0,2,,1,,,,,0,0,,,3,1,,1,0,0,,0,1,,0,,,
,,부상자수,289,217,6,49,4,3,,,1,3,4,,,2,279,192,20,41,6,12,,,1,,5,1,,1,345,218,44,67,3,9,,,,,3,,1,,270,189,4,48,,16,,,,,8,5,,,247,185,,43,6,3,,2,4,,4,,,
,청주시,사고건수,4832,3390,266,522,22,313,3,65,110,6,52,5,5,73,5076,3563,256,616,31,329,1,47,85,13,54,9,6,66,4949,3427,269,579,22,386,4,48,90,17,47,3,1,56,4456,3056,203,528,26,360,7,73,87,10,32,8,4,62,4141,2795,183,506,31,342,2,47,81,51,45,6,5,47
,,사망자수,67,31,7,12,1,9,0,1,2,0,4,0,0,0,86,40,3,22,2,13,0,0,2,0,2,2,0,0,49,30,1,11,1,4,0,1,0,0,0,0,0,1,61,41,5,9,0,2,0,3,0,0,0,1,0,0,49,15,2,18,2,3,2,0,3,1,1,1,1,0
,,부상자수,7633,5630,412,803,40,386,3,80,111,6,68,7,6,81,8161,5904,509,967,37,397,1,62,91,15,76,14,6,82,7938,5667,470,914,28,547,5,59,100,18,66,3,1,60,6887,4866,313,808,46,491,7,98,93,13,57,14,4,77,6192,4264,295,793,50,457,0,67,87,55,59,7,5,53
,충주시,사고건수,1265,846,52,177,5,62,1,53,25,,19,1,,24,1349,892,61,211,13,88,3,21,23,1,16,3,,17,1364,925,48,205,14,67,,25,44,1,18,3,,14,1099,755,38,166,11,40,2,25,32,3,17,1,,9,1147,768,29,177,10,59,1,17,27,11,21,12,2,13
,,사망자수,43,17,2,17,1,4,0,2,0,,0,0,,0,27,11,1,6,0,4,0,1,1,0,2,0,,1,36,25,0,4,1,2,,0,1,1,1,1,,0,21,6,0,7,1,3,0,2,1,1,0,0,,0,25,11,0,4,0,6,1,0,0,0,0,3,0,0
,,부상자수,2111,1430,87,333,30,77,1,65,28,,31,1,,28,2229,1491,137,358,19,119,5,32,23,1,20,3,,21,2350,1655,124,336,19,91,,30,47,0,26,3,,19,1830,1298,75,264,17,59,2,39,32,3,31,1,,9,1797,1226,52,300,19,73,0,29,29,13,30,11,2,13
,제천시,사고건수,949,636,44,167,12,51,2,7,10,,15,2,,3,912,640,32,137,6,57,,3,14,,13,1,1,8,870,614,30,130,6,62,,3,14,,8,3,,,801,532,25,140,7,68,2,4,10,3,6,3,,1,706,488,20,116,7,47,,2,12,3,8,,,3
