시도,시군구,구분,2017,,,,,,,,,,,,,,2018,,,,,,,,,,,,,,2019,,,,,,,,,,,,,,2020,,,,,,,,,,,,,,2021,,,,,,,,,,,,,
,,,합계,승용차,승합차,화물차,특수차,이륜차,사륜오토바이(ATV),원동기장치자전거,자전거,개인형이동수단(PM),건설기계,농기계,기타,불명,합계,승용차,승합차,화물차,특수차,이륜차,사륜오토바이(ATV),원동기장치자전거,자전거,개인형이동수단(PM),건설기계,농기계,기타,불명,합계,승용차,승합차,화물차,특수차,이륜차,사륜오토바이(ATV),원동기장치자전거,자전거,개인형이동수단(PM),건설기계,농기계,기타,불명,합계,승용차,승합차,화물차,특수차,이륜차,사륜오토바이(ATV),원동기장치자전거,자전거,개인형이동수단(PM),건설기계,농기계,기타,불명,합계,승용차,승합차,화물차,특수차,이륜차,사륜오토바이(ATV),원동기장치자전거,자전거,개인형이동수단(PM),건설기계,농기계,기타,불명
,성북구,사고건수,1557,1001,114,140,1,139,,57,51,,12,,5,37,1427,908,105,128,,164,1,35,41,3,8,,4,30,1509,957,109,136,1,217,1,19,37,2,18,,1,11,1275,805,73,132,1,166,,23,40,4,14,,,17,1285,826,87,114,1,160,,13,46,5,8,,2,23
,,사망자수,17,8,0,4,0,2,,1,1,,1,,0,0,14,7,1,2,,3,0,0,0,0,1,,0,0,8,2,1,1,0,1,1,0,0,0,2,,0,0,7,2,0,0,0,3,,0,0,0,2,,,0,15,4,2,3,0,5,,0,1,0,0,,0,0
,,부상자수,2068,1368,156,207,2,159,,64,54,,14,,5,39,1980,1318,153,174,,196,2,44,41,5,8,,4,35,2007,1325,148,170,1,265,0,23,39,2,22,,1,11,1622,1060,96,164,1,196,,27,44,4,13,,,17,1606,1052,98,145,1,204,,16,47,5,13,,2,23
,도봉구,사고건수,944,589,73,77,4,82,,38,66,1,3,,,11,824,520,84,63,,79,1,11,45,1,4,,1,15,852,485,70,68,2,133,,9,62,3,5,,1,14,741,414,57,67,1,107,,17,57,6,5,,1,9,591,327,58,51,1,82,,12,43,3,7,,,7
,,사망자수,9,3,0,2,0,3,,1,0,0,0,,,0,6,1,3,0,,0,0,0,1,0,1,,0,0,4,2,0,0,0,2,,0,0,0,0,,0,0,7,3,0,2,0,1,,0,1,0,0,,0,0,3,1,0,0,0,0,,0,2,0,0,,,0
,,부상자수,1239,797,104,100,6,101,,46,68,1,3,,,13,1061,712,95,86,,89,1,13,45,1,3,,1,15,1163,682,102,90,4,173,,10,77,3,6,,1,15,990,539,119,87,1,140,,21,60,6,7,,1,9,768,442,76,63,1,104,,15,48,3,9,,,7
,은평구,사고건수,1067,666,94,69,1,76,,58,51,,9,,1,42,1134,699,105,85,1,96,,35,51,2,8,,2,50,1119,647,118,104,1,121,,22,62,7,9,,4,24,953,595,62,64,2,103,,47,43,3,9,,3,22,867,492,58,77,1,121,1,28,56,14,8,,,11
,,사망자수,12,3,4,1,0,3,,1,0,,0,,0,0,12,3,3,2,0,1,,2,1,0,0,,0,0,7,1,0,3,0,1,,1,1,0,0,,0,0,14,3,3,1,0,2,,2,1,0,2,,0,0,11,2,1,2,0,2,0,1,2,0,1,,,0
,,부상자수,1489,995,135,89,1,93,,71,52,,9,,1,43,1580,1020,152,117,2,126,,43,54,2,11,,2,51,1464,894,135,130,1,161,,29,69,7,9,,4,25,1415,889,101,100,2,174,,62,46,3,9,,4,25,1218,690,127,103,1,161,1,38,59,19,8,,,11
,서대문구,사고건수,1032,666,98,66,,102,,35,26,1,6,,1,31,1033,672,101,71,1,104,1,27,30,,6,,1,19,1113,672,122,78,,121,,25,48,4,16,,2,25,928,553,71,69,,129,,21,38,7,12,,4,24,930,526,83,77,4,149,,27,36,12,7,,,9
,,사망자수,8,3,2,1,,1,,0,0,0,1,,0,0,5,3,1,0,0,1,0,0,0,,0,,0,0,14,5,4,1,,1,,0,1,0,2,,0,0,6,3,1,0,,0,,0,1,0,1,,0,0,9,4,0,1,0,2,,1,0,0,1,,,0
,,부상자수,1430,961,139,84,,127,,49,29,1,7,,2,31,1403,951,132,98,1,121,1,33,35,,9,,2,20,1609,1004,209,96,,152,,33,49,4,35,,2,25,1256,791,89,93,,165,,28,39,7,15,,4,25,1206,714,106,100,4,188,,28,36,12,6,,,12
,마포구,사고건수,1859,1335,92,118,3,135,,49,48,,11,,3,65,1671,1197,106,103,5,99,,38,45,4,19,,2,53,1494,982,113,99,2,125,,45,52,4,10,,3,59,1272,814,68,83,5,120,1,34,51,32,10,,1,53,1102,712,60,84,1,98,,22,52,33,8,,2,30
,,사망자수,8,5,2,0,1,0,,0,0,,0,,0,0,11,4,3,0,0,2,,0,1,0,1,,0,0,7,4,0,1,0,0,,0,0,1,1,,0,0,13,6,3,2,0,1,0,1,0,0,0,,0,0,14,5,2,3,0,3,,0,1,0,0,,0,0
,,부상자수,2793,2113,122,181,2,181,,56,49,,11,,3,75,2429,1806,157,140,8,129,,43,46,4,23,,4,69,2123,1458,176,140,2,158,,54,58,3,9,,4,61,1754,1197,84,99,5,157,1,42,59,33,16,,1,60,1573,1043,90,154,1,110,,26,65,36,11,,2,35
,강서구,사고건수,1584,1014,136,109,6,123,,56,87,3,17,,3,30,1502,988,152,101,1,125,1,27,59,2,16,,1,29,1829,1150,171,143,3,185,,41,72,4,12,,,48,1575,963,100,156,3,182,,44,73,10,12,,1,31,1501,882,102,112,5,192,,38,99,18,11,,2,40
,,사망자수,12,5,2,1,0,2,,0,2,0,0,,0,0,11,4,1,2,1,2,0,0,1,0,0,,0,0,20,9,5,3,0,3,,0,0,0,0,,,0,17,6,4,4,0,3,,0,0,0,0,,0,0,13,3,2,2,0,3,,1,1,0,1,,0,0
,,부상자수,2155,1455,176,140,7,145,,67,93,3,33,,3,33,2208,1472,259,127,0,188,1,39,59,2,29,,1,31,2491,1585,271,184,4,244,,57,79,4,15,,,48,2131,1352,143,204,3,224,,56,79,12,22,,1,35,2042,1267,131,152,6,251,,52,104,18,15,,2,44
,구로구,사고건수,1433,895,115,148,2,175,,15,49,2,8,,,24,1532,960,130,179,2,166,,7,53,4,13,,1,17,1529,937,121,185,2,165,,3,71,3,15,,2,25,1325,830,109,112,5,165,,13,58,12,10,,,11,1350,818,105,144,3,167,,13,68,9,10,,1,12
,,사망자수,12,7,2,2,0,1,,0,0,0,0,,,0,13,5,4,0,0,1,,0,0,0,3,,0,0,13,10,1,1,0,1,,0,0,0,0,,0,0,10,2,1,1,0,5,,0,0,0,1,,,0,9,4,0,0,0,4,,1,0,0,0,,0,0
,,부상자수,1960,1274,150,190,2,228,,20,51,2,16,,,27,2129,1375,169,234,3,233,,12,59,7,18,,1,18,2096,1348,158,243,2,216,,3,78,3,15,,3,27,1810,1189,134,161,5,206,,14,65,12,11,,,13,1729,1073,138,183,3,210,,15,73,9,11,,1,13
,영등포구,사고건수,2386,1553,177,211,4,189,1,22,150,2,11,,2,64,2493,1588,169,205,9,244,,15,161,3,21,,3,75,2439,1480,197,219,6,246,1,28,189,6,18,,3,46,2208,1321,117,186,6,246,1,41,210,14,21,,6,39,2178,1365,113,192,4,210,,28,196,13,22,,4,31
,,사망자수,22,7,4,4,0,5,0,0,1,0,1,,0,0,22,9,2,5,0,1,,0,4,0,1,,0,0,11,5,2,2,0,1,0,0,0,0,1,,0,0,7,0,2,2,0,2,0,0,1,0,0,,0,0,15,7,2,5,0,0,,0,1,0,0,,0,0
,,부상자수,3519,2351,354,307,6,225,1,27,163,2,15,,2,66,3532,2381,276,252,18,304,,18,172,3,24,,3,81,3451,2178,305,295,8,319,2,42,219,6,25,,3,49,3102,1950,170,248,11,336,1,54,238,19,28,,6,41,2967,1926,154,253,7,286,,34,221,14,34,,5,33
,동작구,사고건수,1409,906,118,93,3,110,,70,54,,10,,2,43,1412,907,115,92,5,156,,38,63,1,6,,1,28,1406,860,137,103,2,190,,26,53,1,11,,1,22,1307,742,105,113,5,196,,41,67,11,9,,5,13,1148,671,67,120,2,176,,12,52,21,12,,2,13
,,사망자수,20,8,2,3,0,1,,3,1,,2,,0,0,9,2,4,2,0,1,,0,0,0,0,,0,0,5,4,0,0,0,1,,0,0,0,0,,0,0,10,4,1,2,0,1,,1,0,0,1,,0,0,11,4,2,3,0,0,,0,0,0,2,,0,0
,,부상자수,2043,1384,166,116,7,133,,77,65,,48,,2,45,1892,1273,165,109,6,187,,44,71,1,7,,1,28,2021,1260,196,155,2,256,,37,63,1,25,,1,25,1819,1096,137,149,7,254,,52,81,11,10,,7,15,1520,905,93,160,2,231,,15,58,24,17,,2,13
,관악구,사고건수,1251,800,93,87,1,149,,43,36,1,7,,,34,1300,876,108,90,3,144,,14,25,1,4,,2,33,1363,858,127,92,4,210,1,3,43,2,12,,,11,1444,913,94,128,2,208,,14,44,21,12,,,8,1419,888,120,93,5,240,,15,31,14,8,,,5
,,사망자수,11,8,1,1,0,1,,0,0,0,0,,,0,8,3,1,1,0,2,,0,1,0,0,,0,0,10,4,0,3,0,1,0,0,1,0,1,,,0,13,8,0,3,0,1,,0,1,0,0,,,0,8,7,0,0,0,1,,0,0,0,0,,,0
,,부상자수,1659,1102,118,105,1,189,,60,39,1,7,,,37,1717,1202,130,107,3,194,,14,24,1,4,,2,36,1755,1127,158,107,7,278,2,3,46,2,13,,,12,1819,1177,108,149,2,270,,20,43,25,15,,,10,1829,1138,169,121,5,315,,17,34,15,10,,,5
,강남구,사고건수,3469,2807,126,154,3,202,,23,63,1,6,,3,81,3459,2825,115,155,7,194,,15,59,3,11,,3,72,3722,2862,172,171,10,280,1,20,60,36,18,,2,90,3752,2764,129,197,4,319,,15,99,94,31,,6,94,3820,2777,157,205,8,381,1,8,95,81,20,,3,84
,,사망자수,19,13,1,2,0,3,,0,0,0,0,,0,0,20,11,3,3,0,2,,0,1,0,0,,0,0,14,6,1,2,0,4,0,0,0,0,1,,0,0,17,6,0,3,0,7,,0,0,0,1,,0,0,10,6,0,2,0,2,0,0,0,0,0,,0,0
,,부상자수,4959,4099,196,210,3,256,,24,68,1,12,,4,86,4967,4158,154,216,10,243,,17,68,3,17,,3,78,5182,4112,224,233,12,356,1,20,70,38,20,,2,94,5189,3975,168,255,4,406,,16,117,104,37,,6,101,5175,3864,203,277,12,493,1,8,113,87,28,,3,86
