,지자체,위반유형,발생건수
166,구로구,교차로운행방법위반,1.0
167,노원구,교차로운행방법위반,1.0
168,도봉구,교차로운행방법위반,0.0
169,강남구,교차로운행방법위반,3.0
170,서대문구,교차로운행방법위반,2.0
171,송파구,교차로운행방법위반,1.0
172,양천구,교차로운행방법위반,0.0
173,중구,교차로운행방법위반,0.0
174,금천구,교차로운행방법위반,0.0
175,강동구,보행자보호의무위반,1.0
176,동대문구,보행자보호의무위반,0.0
177,동작구,보행자보호의무위반,1.0
178,마포구,보행자보호의무위반,2.0
179,서초구,보행자보호의무위반,4.0
180,성동구,보행자보호의무위반,0.0
181,성북구,보행자보호의무위반,0.0
182,영등포구,보행자보호의무위반,0.0
183,강북구,보행자보호의무위반,0.0
184,용산구,보행자보호의무위반,0.0
185,은평구,보행자보호의무위반,0.0
186,종로구,보행자보호의무위반,0.0
187,중랑구,보행자보호의무위반,0.0
188,강서구,보행자보호의무위반,2.0
189,관악구,보행자보호의무위반,0.0
190,광진구,보행자보호의무위반,2.0
191,구로구,보행자보호의무위반,0.0
192,노원구,보행자보호의무위반,0.0
193,도봉구,보행자보호의무위반,0.0
194,강남구,보행자보호의무위반,1.0
195,서대문구,보행자보호의무위반,0.0
196,송파구,보행자보호의무위반,0.0
197,양천구,보행자보호의무위반,0.0
198,중구,보행자보호의무위반,1.0
199,금천구,보행자보호의무위반,0.0
200,강동구,직진우회전진행방해,0.0
201,동대문구,직진우회전진행방해,0.0
202,동작구,직진우회전진행방해,0.0
203,마포구,직진우회전진행방해,0.0
204,서초구,직진우회전진행방해,0.0
205,성동구,직진우회전진행방해,0.0
206,성북구,직진우회전진행방해,0.0
207,영등포구,직진우회전진행방해,0.0
208,강북구,직진우회전진행방해,0.0
209,용산구,직진우회전진행방해,0.0
210,은평구,직진우회전진행방해,0.0
211,종로구,직진우회전진행방해,0.0
212,중랑구,직진우회전진행방해,0.0
213,강서구,직진우회전진행방해,0.0
214,관악구,직진우회전진행방해,0.0
215,광진구,직진우회전진행방해,2.0
216,구로구,직진우회전진행방해,0.0
217,노원구,직진우회전진행방해,0.0
218,도봉구,직진우회전진행방해,0.0
219,강남구,직진우회전진행방해,0.0
220,서대문구,직진우회전진행방해,0.0
221,송파구,직진우회전진행방해,0.0
222,양천구,직진우회전진행방해,0.0
223,중구,직진우회전진행방해,0.0
224,금천구,직진우회전진행방해,1.0
